number,name,description,image
1279F3S,Semplice Collection ,"Designed for placement in a multitude of settings, the classically understated lines of Semplice Collection will complement your homes décor. Offered in either dark gray or beige fabric covering, the welt accented chair will provide a comfortable platform for any room in your home.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1279F3S.jpg
4732PU,Fleming Collection,"Moving through your living space with the greatest of ease is the Fleming Collection. Situated on casters, the multi-functional ottoman features display storage and defined quad seating that, when turned over, can be used as serving trays.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4732PU.jpg
3228-12,Factory Collection ,Blending the look of vintage industrial with modern design is the Factory Collection. Burnished rustic solid wood planks make up the shelves and features wrought iron style metal framing. The continuous finished design makes this unit flexible for placement as a freestanding piece. Matching desk and occasional tables are also available.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3228-12.jpg
3224N-05,Daria Collection,"A continuous metal frame comprises the support system in the rustic Daria Collection. Each piece features wood shelving, with hints of grey within the finish, lending distinct character. Bookcase is offered in two widths, 26-inch and 40- inch wide, for the perfect placement in your home.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3224N.jpg
8326BLK-3,Pendu Collection ,"Contoured for your ultimate comfort and designed for placement in homes with transitional or contemporary style, the Pendu Collection will provide the relaxing platform you need for your downtime. Plush seating and backs extend from seated to prone with a pull of the manual reclining mechanism on each piece in the collection - dual reclining sofa, love seat and chair. The top and front bodies of each piece in the collection is covered in black or brown top grain leather, with leather match covering those areas beyond your initial reach.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8326BLK.jpg
3533-30,Tioga Collection ,"Designed for the modern home, the Tioga Collection will provide a unique look for your living room. Brushed chrome geometric support legs provide a distinct contrast to the espresso finish of the table tops and display shelves in this occasional grouping. Drawers provide additional storage space while the functionality of the collection is further enhanced by the lift mechanism that allows for the extension of the cocktail table's top.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3533-30.jpg
2601-15,Tempe Collection ,"With a scale appropriate for any number of smaller home office spaces, dorms or bedrooms, the Tempe Collection will provide the look and style you want in your home. The transitional feel of the group comes from the richly hued faux marble desk top and the minimalistic design of the accompanying dark brown bi-cast vinyl desk chair.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2601-15.jpg
9700BLK-3,Cranley Collection ,"The reclining Cranley Collection utilizes release mechanism that with a gentle pull sends you straight into your ultimate comfort zone. Tufted bonded leather covers the overstuffed arms, seats and backs furthering the comfort for you, your family and friends. Offered in black or brown.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/9700BLK_2456-30.jpg
1297GY-1,Grazioso,Accenting your sophisticated décor is the Grazioso Collection. The gray and blue velvet covers that are offered feature high polish nailhead accent that defines the chair’s profile. The straight back and boldly sloped arms further the elegant profile of the collection.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1297GY-1.jpg
H11761,Lucian Collection,"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Beautifully crafted stand features high quality satin nickel finish metal and glass, and an elegant circular lamp shade. Great addition piece on your night stand, end table, or sofa table. It offers flexible lighting solution: a table lamp with a main light that is suitable for reading, perfect for a night light, and to create the mood in any room.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/H11761.jpg
3447-30,Orton Collection ,Creatively designed to meet the needs of your casual living room is the Orton Collection. Faux marble tabletops are complimented by a rich cherry finish that covers each of the table's box-framed aprons and legs. The cocktail table features display shelf and a convenient lift tabletop that makes this functional group a welcome addition to your home.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3447-30.jpg
459B-PU,Vega Collection ,"The cocktail ottoman with storage trunk of the Vega Collection offers an inventive way to store your assorted odds and ends out of the way but still within reach. The fully upholstered ottomans feature removable tops that open up to a finished interior perfect for storage while the removable top also functions as a tray. Base finish is espresso, available in either light brown mottled microfiber or dark brown bi-cast vinyl.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/459B-PU.jpg
8404DB-1,Mendon Collection ,"Whether utilized as an accent to your existing living room suite or as a stand-alone chair in your home, the Mendon Collection will add a modern touch to your space. Clean lines are covered in either dark brown or taupe bi-cast vinyl in this contemporary selection. The manual reclining mechanism allows you to reach a relaxed position with just the pull of a lever.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8404DB-1.jpg
1193F1S,Barlowe Collection ,"A tasteful accent to any room in your home is the Barlowe Collection. The dark cherry finish of the wood legs is a perfect contrast for either the oatmeal linen or the french note fabric offerings. New fabric options include: blue, grey, dark teal, chain link print, and paisley print.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1193F1S.jpg
8327GY-1S,Deryn Collection ,"Mid-Century modern design is the inspiration for the Deryn Collection. Wide, dramatically curved arms rise to the straight back that is synonymous with this classic style. Offered as a stand-alone accent to complement your home's décor or as part of the full Deryn Collection, the chair is featured in a modern grey or teal herringbone pattern. Natural tone finished legs support the frame while tailored stitch tufting lends further accent to this thoroughly modern collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8327GY 8327GY-1S.jpg
1242-1,Ceylon Collection,"Graceful curves paired with natural tones create the elegant design of the Ceylon Collection. The solid wood framing of the collection features wire brush texturing and a gray finish, both contributing a subtly weathered look that plays effortlessly against the contrasting beige fabric seat cushions. The profile of the chair's sides frame a geometric floral-inspired pattern that lends an air of whimsy to the design.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1242-1.jpg
5608-76*,Springer Collection,Subtle rustic industrial styling is utilized to create the look of the Springer Collection. Curved back chairs create soft contrast to the metal base and ash veneer covered top. The metal and wood of this collection feature complementing grey finishes for subtle weathered effect.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5608-76.jpg
3228-30,Factory Collection ,"Blending the look of vintage industrial with modern design is the Factory Collection. Burnished rustic wood planks are framed with wrought iron style metal supports in this stylish occasional table offering. The sofa and end tables feature X-framing that draws inspiration from the bracing seen in so many industrial settings, while the reproduction factory cart takes a functional object and turns it into a piece of art. Matching bookcase is also available.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3228-12.jpg
3534-30,Sicily Collection ,"With framing that gracefully conforms to the uniquely cut-away glass and wood display shelving, the Sicily Collection lends a distinct modern look to your living room. The curves of the display platforms lend to the look of a modified hourglass profile for each table. Discreet drawer storage lends additional functionality to the cocktail table.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3534-30.jpg
8411,Palmyra Collection ,"Configurable to your space and personal needs, the Palmyra Collection will serve as a functional, stylish and comfortable platform for your ultimate downtime. The right and left love seats are available with or without a functional console - featuring cup holders and lift top storage. The center wedge unit is available as either a plush seat or a wood table that features receptacles and USB ports. The Palmyra Collection is offered in dark brown bonded leather match. Eight seating configurations are available to meet the needs of your space.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8411 2LCN_WD_2R.jpg
8327GY-1S,Deryn Collection ,"Mid-Century modern design is the inspiration for the Deryn Collection. Wide, dramatically curved arms rise to the straight back that is synonymous with this classic style. Offered as a stand-alone accent to complement your home's décor or as part of the full Deryn Collection, the chair is featured in a modern grey or teal herringbone pattern. Natural tone finished legs support the frame while tailored stitch tufting lends further accent to this thoroughly modern collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8327GY 8327GY-1S.jpg
2147W-12,Mayville Collection ,"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes – burnished brown cherry, white, black, and the newly offered stained grey – with all of the traditional flare unique to the style – antiqued metal bale hardware and distinct framing – this collection is a perfect addition to your traditional adult or youth bedroom.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2147W-12.jpg
8239-3,Mandeville Collection ,"The timeless look of traditional styling is achieved in the design of the Mandeville Collection. Brown chenille fabric is paired with a show wood frame to create a delicate contrast of textures. Elegant carvings, contrast toss pillows and a curved arm profile further lend to the classic look.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8239.jpg
2169SL-1,Hillcrest Manor Collection ,"Traditionally styled bedrooms require a sense of grandeur, and the Hillcrest Manor Collection meets the requirement fully. The grandly scaled case goods feature framed marble tops with hints of the rich natural tones of brown and cream. Acanthus leaf carvings along with egg and dart molding, beaded molding, pull and knob antiqued hardware, and a rich cherry finish further the traditional style. Full extension drawer glides add convenience to the collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2169SL-1.jpg
5532-36,Sona Collection ,Ultra-modern styling is executed flawlessly in the design of the Sona Collection. Immediately drawing your attention and providing stylistic drama to the casual dining group is the silver finished metal base and elongated cut-away bi-cast vinyl backs of the flanking dining chairs. Silver finished metal table legs support the dual glass table top - the dining surface features a clear glass with black framing while the lower display shelf features black glass providing contrast and a finish that lends a modest touch to the over-the-top design of this casual dining offering.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5532-36.jpg
8207-3,Lotte Collection ,"At home in a soft contemporary or modern traditional home, the Lotte Collection will be a stylish addition to your living space. Wood legs rise to support the frame of this seating group, lending a clean and airy feel to the look of the collection. Contoured track arms and contrast toss pillows further the sophisticated, stylish profile.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8207.jpg
8205CH-1,Earl Collection ,Plush seating morphs into an enveloping relaxation platform with the pull of the manual recline mechanism in the Earl Collection. The collection is offered with a chocolate or brown covering that lends to the décor of your transitionally styled home.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8205CH-1.jpg
4507-F1,Destry Collection ,"With a base that lends to a modern look and seat that has design roots that lean towards a more traditional styling, the Destry Collection will be a versatile choice for your home. The continuous frame of the black metal base supports the button tufted fabric seat. Offered in dark gray and beige for the perfect pairing to your home décor.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4507-F1.jpg
1193F5S,Barlowe Collection ,"A tasteful accent to any room in your home is the Barlowe Collection. The dark cherry finish of the wood legs is a perfect contrast for either the oatmeal linen or the french note fabric offerings. New fabric options include: blue, grey, dark teal, chain link print, and paisley print.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1193F5S.jpg
8412-3,Fiorella Collection ,"The elaborate designs of Old World Europe are treated with a distinct modern touch in the Fiorella Collection. The eye-catching jewel tufting reflects with a brilliance intended to accentuate the dusky taupe coloring of the faux silk and the rich silver, with gold undertone finish of the show wood frame. With details such as shell and acanthus leaf scrolling, routed pilaster and cabriole legs, the traditional look of the collection is solidified. The accenting faux silk toss pillows feature traditional fringe detailing and a complementing detail pattern.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8412_all_mixing color (2015).jpg
4829LN,Caffery Collection ,"In creating the perfect recreational room, you need functional pieces that provide comfort to your friends and family. The Caffery Collection, with a quick adjustment to the click mechanism, turns from a casual sofa into a flat platform perfect for sleeping or just hanging out. Offered in a dark brown bi-cast vinyl with white contrast stitching or dark grey fabric, the collection also features cup holders at arms for added convenience.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4829LN.jpg
5525-72,Fielding Collection ,"Classic soft modern styling creates the look of the Fielding Collection. Unfettered design makes for a classically refined profile, while black inset glass is utilized for perfect contrast to the brown finish of the wood table frame. Flanking the table are the side chairs, offered in either dark or light gray fabric. The accompanying server has drawer, behind door and wine rack storage for style and functional usage. Offered in both traditional and counter height for perfect placement in your dining room.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5525-72.jpg
8235GY-3,Breaux Collection ,"Contemporary design is utilized to create the look of the Breaux Collection. The collection is offered in gray or sesame cover for ultimate design versatility, with two configurations – sofa with end chaise or traditional sofa, love seat and chair – allowing for perfect placement within your living room. Reversible back cushions further the functionality and chrome legs support and lend to the modern design.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8235GY.jpg
5050-36,Galena Collection ,The convenient height of the Galena Collection along with the warm cherry finish will be a welcome addition to your casual dining space. The five-piece offering includes the counter height table with display storage base and four coordinating chairs that have dark brown bi-cast vinyl seats. The transitional styling makes the placement of the collection appropriate for numerous home decors.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5050-36_new.jpg
2601-48,Tempe Collection ,"With a scale appropriate for any number of smaller dining spaces, the Tempe Collection will provide the look and style you want in your home. The transitional feel of the group comes from the richly hued faux marble table top and the minimalistic design of the dark brown bi-cast vinyl chairs. The table and chair are constructed of metal in black finish.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2601-48_2014D-193.jpg
4520,Cabernet Collection ,Created in the profile of a wine barrel the Cabernet wine refrigerator will be the talk of your next gathering. The door of the unit opens to reveal row upon row of wine storage racks ready for you to load your favorite bottles. The lift top conveniently provides storage and the controls that keep your favorite wine at the optimal temperature. The dark oak finish complements the rustic look of this unique unit.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4520.jpg
5425-90,Benwick Collection ,"From every angle, the modern traditional design of the Benwick Collection shines through. Offered with two table options – a classic turned-leg table and a display base counter height table. Each table is flanked by elegantly designed fabric covered chairs that are supported by turned dark cherry legs. Nail head accenting furthers the chair’s modern traditional styling. The accompanying server features ample behind door storage, wine bottle rack, and brushed nickel knob hardware. Birch veneer is used throughout the collection and is enhanced by a dark cherry finish",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5425-90.jpg
H10081,Aura Collection ,"This accent lighting can change the ambiance of any room. Its ultra modern design showcases sparkling decorative mood light, with tiny rippling water-droplets to simulate the soothing dancing water motion. Beautifully crafted stand features high quality satin nickel finish metal and glass, and an elegant rectangular lamp shade on black base. Great addition piece on your night stand, end table, or sofa table. It offers flexible lighting solution: a table lamp with a main light that is suitable for reading, perfect for a night light, and to create the mood in any room.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/H10081_b.jpg
1743-1*,Korlan Collection,"Clean, contemporary styling is a unique feature of the Korlan Collection. The ultra-low profile bed features wide side rails and footboard to achieve a true platform effect. Substantially sized case pieces lend sturdy structure linear shape to the collection. A brown oak finish captures the natural grain pattern of the white oak veneer, lending a unique look to this contemporary bedroom group.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1743-1.jpg
1279F2S,Semplice Collection ,"Designed for placement in a multitude of settings, the classically understated lines of Semplice Collection will complement your homes décor. Offered in either dark gray or beige fabric covering, the welt accented chair will provide a comfortable platform for any room in your home.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1279F2S.jpg
8327DBR Sectional,Deryn Collection,"Mid-Century modern design is the inspiration for the Deryn Collection. Synonymous with this classic style are the wide, dramatically curved arms rising to the straight back along with the angled wood legs that provide support. The frame selection - sectional, sofa, love seat and chair - combined with the available cover options -dark brown or black leather gel match, teal, beige or gray fabric - allows for a versatile selection of seating that fits perfectly within your living space. Tailored stitch tufting and coordinating accent chairs - in teal or gray herringbone - lend additional defining accent to this thoroughly modern collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8327DBR-SC.jpg
4508-PH,Yara Collection ,"Providing extra seating in your casual dining space, the Yara is a modern take on the classic barstool. Intersecting circles stack one upon the other to create eye-catching style and serve as the base to support the gray fabric seat. The accent barstools are offered in 19.5-inch and 28-inch heights to meet the requirements for your space.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4508-PH 4508-SH.jpg
710-30,Daisy Collection ,Daisy Collection combines superb visual appearance and fine quality that you need in your living room area. The table group features an elegant tulip base and clear glass top to provide an open airy feel. Constructed of hardwood veneers in refreshing espresso finish.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/710-30.jpg
5177-54,Beaugrand Collection ,"Leaning towards the styles of industrial, contemporary and transitional, the Beaugrand Collection will be an appropriate choice for a number of dining room decors. Offered in two table styles – round or rectangular – both options of the dining collection feature decorative stainless steel apron trim banding and modified X-base. The coordinating sling-back chair is upholstered in neutral grey fabric with brown tone, accenting by nailheads.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5177-54.jpg
2588-92,Chicago Collection ,"Design elements from traditional to mid-century modern are delicately balanced in the sophisticated Chicago Collection. This deep espresso finished dining group takes the uniquely routed accent of the apron and double pedestal table base and applies it to the accompanying server. The shape of the chairs conforms to your body, providing comfort and maximum style. From the grand sweep of the arms to the traditional nail-head accent, this chair is the ultimate in sophistication. The server features tassel drop pull hardware in a nickel finish and features door storage.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2588-92_2014D-16.jpg
8378BLK-L,Barrington Collection ,"Soft Contemporary styling lends a cool, classic look to your modern living space in the Barrington Collection. Stitch tufting provides soft contrast to the cleanly designed lines of this seating arrangement. The attached chaise lounge and accompanying ottoman provide the opportunity for putting your feet up while you enjoy your downtime. The seating group is offered in gray, black and brown bi-cast vinyl.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8378BLK-L -R -4.jpg
5106BK,Edgar Collection ,Richly hued faux marble tops the metal counter height table base in the three-piece Edgar Collection. Vertical slat detailing provides stylish detail to this convenient table offering. Two black bi-cast vinyl covered barstools complement the collection while easily storing beneath the table allowing for placement in the coziest of dining spaces.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5106BK_2014D-223.jpg
8524RD,Talbot Collection ,"Designed with your bold design choices in mind, the contemporary Talbot Collection will provide your family and friends with a comfortable place to spend their quality time. Offered in red or black bonded leather match, the race car inspired bucket seat is fine tuned by contrast double stitching. Features include: adjustable headrests, reclining ends sofa, glider reclining love seat with console and glider mechanism equipped coordinating chair.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8524RD-shot2_mixing color (2015).jpg
1218DG,Roweena Collection,"The retro lines of the Roweena Collection serve as a reminder that timeless design never goes out of style. Contrast welting lends definition to the boxy shape of this elegant seating offering. The collection is available in 4 stylish colors - beige, dark gray, orange and teal to bring a distinct look to your living room. White fabric - covered buttons punctuate the chair back further lending to the classic look. Matching love seat and sofa are available.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1218DG.jpg
2477-78,Alita Collection ,"A reflection of your taste for clean design with both traditional and modern flair, the Alita Collection perfectly encompasses your style preference. Warm burnishing on warm cherry finished patterned veneers add depth to the casual dining offering. Coordinating server features door storage and wine bottle rack. Seat cushions are covered in dark brown bi-cast vinyl.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/2477-78.jpg
9909CH,Comfort Living Collection ,"The Comfort Living Collection, with our patent pending assembly method, allows you to customize the placement of the back supports to fit your living space needs. Working as either a right OR left facing grouping, the reversible 3-seater and chaise may be placed on either side, optimizing your special needs. Contrasting two-tone rhino microfiber and dark brown bi-cast vinyl lends a contemporary yet relaxed style. Available in chocolate rhino microfiber and brown rhino microfiber. 2 free pillows included.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/9909CH.jpg
5149-48,Loyalton Collection ,"Traditional elements of wood and metal blend to create the casual look of the Loyalton Collection. Forged of metal, the double-X patterns flow from chair back to table apron, while the traditional look of the table’s turned legs is given a modern update. Wood is utilized for the tables routed top, chair seats and chair backs. The collection is offered in two distinct styles to fit your needs – 48 inches fixed rectangular top and 40 inches square counter height top.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5149-48.jpg
1191F3S,Orson Collection ,"The padded upper back of the Orson Collection is supported by wooden slats that give way to the substantially sized seat of this whimsical accent chair. The collection has six available fabric options - Blue tonal stripe, Black & White swirl, Multi-color poppies, Purple Medallion, Voyage and Grey Medallion.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1191f3s_2014H-77.jpg
1852-1,Porter Collection ,"With an intricate design lending to the modern look of the Porter Collection, your bedroom will reflect your taste for sophisticated contemporary living. A warm walnut finish and the look of woven detailing highlight the natural wood grain of the veneer on each piece of the collection. Knob hardware blends effortlessly to create an unobtrusive accent to the case goods. The bed features framing on the headboard and low-profile footboard that subtly incorporates the prominent woven design.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1852K-1.jpg
5553-01,Jenkins Collection ,The Jenkins Collection occasional group shows a strong personality with the look of a leather edge banding and etched center motif. Featuring curved metal base and a warm tobacco finish.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5553-01.jpg
1933-1*,Tandie Collection,"The art deco glamour of the Tandie Collection is defined by subtle elements combing to create a sophisticated option for your elegant bedroom. At first glance your eye catches the delicate highlights of the champagne finish, the highs and lows playing effortlessly off the tight grain of the lizard patttern shagreen fronts, while platinum metallic finished hardware lends subtle contrast to the elegantly framed drawers. The functional drawer footboard provides additional space within your bedroom for much needed storage. The button tufted headboard is covered in pearl toned faux silk vinyl to provide additional glamour to this stylish bedroom collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1933-1.jpg
1194TL,Charisma Collection ,"High polished nailhead accents the profile of the Charisma Collection. This modern traditional accent chair provides a stylish, yet functional addition to your home. The chair is offered in four distinct colors: teal, taupe, indigo and chocolate.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1194TL.jpg
1947-1,Lindley Collection ,"Modern traditional styling is lent a rustic touch in the design of the Lindley Collection. Walnut veneers over solid wood are finished in dusty gray to complement the rich tone of the natural wood look. Round pull hardware punctuates each drawer front, while graceful lines lend a distinctly feminine touch. Button-tufting features prominently on the padded wood-framed headboard and footboard.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1947-1.jpg
1267GY, Thrive Collection,Mid-century styling and ultra-modern design collide in the creation of the Thrive Collection. The curvaceous profile of the gray fabric covered chair and accompanying ottoman provide a unique look for your contemporary home. A swivel base provides movement for flow of conversation while the ottoman allows you to kick up your feet and relax in style.,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1267GY.jpg
1194IN,Charisma Collection ,"High polished nailhead accents the profile of the Charisma Collection. This modern traditional accent chair provides a stylish, yet functional addition to your home. The chair is offered in four distinct colors: teal, taupe, indigo and chocolate.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1194IN.jpg
8246GY,Nevaun Collection,"Effortless glamour takes shape with the design of the Nevaun Collection. Offered in light gray or cream AireHyde, the collection features the elegant tailored accenting of button tufting and profile welting to create the stylish look. High polish stainless steel legs support the group and provide classic contrast.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8246GY.jpg
5034,Amara Collection,"Boldly hued chairs from our Amara Collection provide a welcome pop of color in your whimsical room decor. Shown here with the table from our Derry (2555) Collection, the chairs can be mixed or matched to suit your personal style. Constructed of metal, the industrial chic chairs are finished in blue, red, yellow or rust. Not limited to the dining room, the Amara Collection can be used to accent any room of the house.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5034_MULTI_2014D-165.jpg
5400-1,Schleiger Collection ,"Transitionally styled with a burnished brown finish, the Schleiger Collection features bold accenting that lends to a rustic industrial interpretation. Substantial framing provides a masculine profile while decorative metal and rivet banding on each piece of the group furthers the look. Each case piece features metal horizontal hardware.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/5400-1.jpg
3217PU,Rowley Collection,"Interactive, stylish and just plain fun, the Rowley Collection provides a multifunctional table for your living space. The hydraulic gas lift of the metal table base easily ascends with the push of a button to take the dark cherry finish table from cocktail height to dining level. Accompanied by four dark brown bi-cast vinyl covered storage ottomans that act as dining chairs, this versatile group is the perfect option for those looking for additional space as well as style.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3217PU Low.jpg
1908-1,Summerlin Collection ,"Classic elements of contemporary design are executed to create the look of the Summerlin Collection. Modified convex lines provide bold detailing to the case good drawer fronts, while brushed nickel hardware compliments. The dual panel black bi-cast vinyl padded headboard inserts feature detail stitching and provide contrast to the espresso finish of the collection.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1908.jpg
1721-1*,Kalette Collection,"Your personal style will be reflected with the addition of the Kalette Collection to your bedroom. Antiqued mirror panels cover the headboard, footboard and drawer fronts of each case piece, highlighting the light oak finish over oak veneer of the collection. Knob hardware provides an unobtrusive break to the clean lines of each case piece.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1721-1.jpg
8235GY,Breaux Collection ,"Contemporary design is utilized to create the look of the Breaux Collection. The collection is offered in gray or sesame cover for ultimate design versatility, with two configurations – sofa with end chaise or traditional sofa, love seat and chair – allowing for perfect placement within your living room. Reversible back cushions further the functionality and chrome legs support and lend to the modern design.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8235GY-L 8235GY-R.jpg
8238 Sectional,Shreveport Collection,desc,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8238 Sectional.jpg
1212F2S,Langdale Collection ,"A tasteful accent to any room in your home is the Langdale Collection. The tufted fan back serves as the focal point, while dark cherry finish, on the wood legs, makes for a perfect contrast against either the Oatmeal-Colored or the French Note fabric offerings.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1212f1s_C(2014)_2015S-134.jpg
1866GY-1,Marceline Collection ,"Your bedroom reflects your personal style – Allured by trend forward design, the Marceline Collection satisfied your desired look. The striking gray rub-through or the newly offered gray water-based finishes of the collection feature hand distressing for a subtle weathered look. Geometric molding provides a distinct contrast to the traditionally framed case goods. Substantially sized turned legs enhance the look of the oversized case pieces and mansion headboard.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1866GY.jpg
8216SD-3,Cornelia Collection ,"Casual traditional styling creates the look of the Cornelia Collection. The seating group is offered in two coverings, sand or dark gray fabric to easily blend and complement to your home’s décor. Nail head trim along with rolled arms lend to the soft traditional style.",https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/8216SD.jpg
